"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PNSWMKSE","journalArticle","2022","Semenov, A.; Rysz, M.; Pandey, G.; Xu, G.","Diversity in news recommendations using contextual bandits","Expert Systems with Applications","","","10.1016/j.eswa.2021.116478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123872921&doi=10.1016%2fj.eswa.2021.116478&partnerID=40&md5=d374c8a9f0b0c0c414173e70563c8509","Contextual bandit techniques have recently been used for generating personalized user recommendations in situations where collaborative filtering based algorithms may be inefficient. They are often used in cases when input data are dynamically changing as new users and content items, such as news, constantly change. Contextual bandit methods sequentially select articles for recommendation to a user and continuously modify their strategies so as to present users with articles that maximize clicks. However, exclusively focusing on maximizing the number of clicks can lead to over-exposure of certain articles, while under-representing others. In an era of ever growing demand for digital news delivery, this, in turn, invokes the important notion of presenting news content to users in a “socially responsible” way. To this effect, we introduce a technique based on the contextual bandit framework that, in addition to maximization of the click rate, also considers historical frequency of an article as the “cost” associated with recommending it. It is demonstrated that this approach results in a more balanced distribution and a diverse set of recommended articles. Experiments utilizing a benchmark news dataset demonstrate the trade-off between clicks and diversity of recommended articles. © 2021","2022","2022-03-24 08:56:02","2022-04-13 16:38:21","","","","","195","","","","","","","","","","","","","","","","","Citation Key: Semenov2022 tex.affiliation: Department of Industrial and Systems Engineering, Herbert Wertheim College of Engineering. University of FloridaFL, United States; Center for Econometrics and Business Analytics, St. Petersburg State University, St. Petersburg, Russian Federation; Department of Information Systems and Analytics, Miami University, Oxford, OH, United States; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Department of Systems Engineering and Engineering Management, University of North Carolina at Charlotte, Charlotte, NC, United States tex.art_number: 116478 tex.author_keywords: Contextual bandit; Equitable machine learning; Fairness; Recommender systems tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\L3LZQKAQ\Semenov et al. - 2022 - Diversity in news recommendations using contextual.pdf","","dog; elephant; evil_morty; include; officially_included; sea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W69SE43U","journalArticle","2022","Descampe, A.; Massart, C.; Poelman, S.; Standaert, F.-X.; Standaert, O.","Automated news recommendation in front of adversarial examples and the technical limits of transparency in algorithmic accountability","AI and Society","","","10.1007/s00146-021-01159-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102694452&doi=10.1007%2fs00146-021-01159-3&partnerID=40&md5=a63cd7e2dafa335b55ab32d00400841e","Algorithmic decision making is used in an increasing number of fields. Letting automated processes take decisions raises the question of their accountability. In the field of computational journalism, the algorithmic accountability framework proposed by Diakopoulos formalizes this challenge by considering algorithms as objects of human creation, with the goal of revealing the intent embedded into their implementation. A consequence of this definition is that ensuring accountability essentially boils down to a transparency question: given the appropriate reverse-engineering tools, it should be feasible to extract design criteria and to identify intentional biases. General limitations of this transparency ideal have been discussed by Ananny and Crawford (New Media Soc 20(3):973–989, 2018). We further focus on its technical limitations. We show that even if reverse-engineering concludes that the criteria embedded into an algorithm correspond to its publicized intent, it may be that adversarial behaviors make the algorithm deviate from its expected operation. We illustrate this issue with an automated news recommendation system, and show how the classification algorithms used in such systems can be fooled with hard-to-notice modifications of the articles to classify. We therefore suggest that robustness against adversarial behaviors should be taken into account in the definition of algorithmic accountability, to better capture the risks inherent to algorithmic decision making. We finally discuss the various challenges that this new technical limitation raises for journalism practice. © 2021, The Author(s), under exclusive licence to Springer-Verlag London Ltd. part of Springer Nature.","2022","2022-03-24 08:56:02","2022-04-13 16:38:21","","67-80","","1","37","","","","","","","","","","","","","","","","","Citation Key: Descampe202267 tex.affiliation: Research observatory on media & journalism (ORM), Université catholique de Louvain (UCLouvain), Louvain-la-Neuve, Belgium; Institute of Information and Communication Technologies, Electronics and Applied Mathematics (ICTEAM), Université catholique de Louvain (UCLouvain), Louvain-la-Neuve, Belgium tex.author_keywords: Accountability; Adversarial machine learning; Algorithms; Computational journalism; Fair machine learning; News recommendation systems; Transparency tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\FF932FX7\Descampe et al. - 2022 - Automated news recommendation in front of adversar.pdf","","enter; Implementation; officially_included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LRF8VIF","journalArticle","2022","Makhortykh, M.; Bastian, M.","Personalizing the war: Perspectives for the adoption of news recommendation algorithms in the media coverage of the conflict in Eastern Ukraine","Media, War and Conflict","","","10.1177/1750635220906254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081561386&doi=10.1177%2f1750635220906254&partnerID=40&md5=8e9ea3cf2ef68bf325b9cb1894016c1f","The use of algorithmically tailored individual news feeds is increasingly viewed as an important strategy for accommodating consumers’ information needs by legacy media. However, growing personalization of news distribution also raises normative concerns about the societal function of legacy media, in particular when dealing with personalization of traumatic and polarizing content. To extend the discussion of these concerns beyond the current focus on the role of news personalization in Western democracies, this article offers a conceptual assessment of perspectives for adopting personalization for conflict coverage in Ukraine and Russia, where media systems enjoy a lesser degree of press freedom. Using the coverage of the conflict in Eastern Ukraine as a case study, the article offers a conceptual framework for assessing the impact of personalization on the distribution of conflict-related news in a non-Western context. © The Author(s) 2020.","2022","2022-03-24 08:56:02","2022-04-13 16:38:21","","25-45","","1","15","","","","","","","","","","","","","","","","","Citation Key: Makhortykh202225 tex.affiliation: Institute of Communication and Media Studies, University of Bern, Switzerland; Institute for Information Law, University of Amsterdam, Netherlands tex.author_keywords: algorithms; conflict coverage; digital news; news personalization; Russia; Ukraine tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\HUJXCF95\Makhortykh and Bastian - 2022 - Personalizing the war Perspectives for the adopti.pdf","","elephant; fish; include; morty; officially_included; sea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BL5R2GAX","journalArticle","2022","Heitz, L.; Lischka, J.A.; Birrer, A.; Paudel, B.; Tolmeijer, S.; Laugwitz, L.; Bernstein, A.","Benefits of diverse news recommendations for democracy: A user study","Digital Journalism","","","10.1080/21670811.2021.2021804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124903882&doi=10.1080%2f21670811.2021.2021804&partnerID=40&md5=db98094ad9d1c1e962535461ad649991","News recommender systems provide a technological architecture that helps shaping public discourse. Following a normative approach to news recommender system design, we test utility and external effects of a diversity-aware news recommender algorithm. In an experimental study using a custom-built news app, we show that diversity-optimized recommendations (1) perform similar to methods optimizing for user preferences regarding user utility, (2) that diverse news recommendations are related to a higher tolerance for opposing views, especially for politically conservative users, and (3) that diverse news recommender systems may nudge users towards preferring news with differing or even opposing views. We conclude that diverse news recommendations can have a depolarizing capacity for democratic societies. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","2022","2022-03-24 08:56:04","2022-04-13 16:38:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: Heitz2022 tex.affiliation: Department of Informatics, University of Zurich, Zürich, Switzerland; Digital Society Initiative, University of Zurich, Zürich, Switzerland; Journalism and Communication Studies, Universität Hamburg, Hamburg, Germany; Department of Communication and Media Research, University of Zurich, Zürich, Switzerland; Department of Biomedical Data Science, Stanford University, Stanford, CA, United States; Work partially performed whilst at the Department of Informatics, University of Zurich, Zürich, Switzerland tex.author_keywords: Algorithmic curation; ethics; journalism; political polarization; public sphere; recommender systems; user preferences tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\A2ICUKZG\Heitz et al. - 2022 - Benefits of Diverse News Recommendations for Democ.pdf","","enter; officially_included; User Study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQ3Y2BY8","journalArticle","2022","Møller, L.A.","Between personal and public interest: How algorithmic news recommendation reconciles with journalism as an ideology","Digital Journalism","","","10.1080/21670811.2022.2032782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124752764&doi=10.1080%2f21670811.2022.2032782&partnerID=40&md5=30d15a49aa74e39e1fe2e214a3b736b9","Throughout modern history, the introduction of new technologies in journalism has challenged journalistic roles and the normative landscape of journalism, and the emergent use of personalised news recommender systems seems no exception given personalisation’s inherent democratic risk and commercial nature. However, current literature offers limited insight into how these technologies reconcile with the shared ideological norms and beliefs of journalists. This article identifies recurring tensions between journalism’s ideology and increasing commercial pressures in existing literature focusing on illustrative examples of digital technology implementations in journalism, and discusses how personalised news recommendation may recreate or mediate these tensions. The findings suggest that personalised news recommendation can facilitate journalism in service of the public by using value-sensitive algorithmic design that incorporates editorial input and nudges users to view diverse and serendipitous content. The findings additionally emphasise the importance of algorithmic transparency as a constituent element to distinguish nudging that prompts reflective behaviour from manipulation of choice, thus mediating tensions with journalism’s ideological aspirations to be fair and objective. Lastly, the paper calls for a higher level of understanding and interaction between journalists and algorithmic designers to mediate the impact on journalistic autonomy and ease the inherent transfer of editorial authority over distribution. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","2022","2022-03-24 08:56:04","2022-04-13 16:38:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: Møller2022 tex.affiliation: Department of Media and Journalism Studies, Aarhus University, Aarhus, Denmark; Danish School of Media and Journalism, Aarhus, Denmark tex.author_keywords: Algorithmic journalism; boundary work; journalistic ideals; news diversity; news personalisation; news recommender systems; professional ideology tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\INEAGTUF\Møller - 2022 - Between Personal and Public Interest How Algorith.pdf","","dog; elephant; evil_morty; include; officially_included; sea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N9379NXQ","journalArticle","2022","Vermeulen, J.","To nudge or not to nudge: News recommendation as a tool to achieve online media pluralism","Digital Journalism","","","10.1080/21670811.2022.2026796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124384740&doi=10.1080%2f21670811.2022.2026796&partnerID=40&md5=525d4953300475d94b8ccf7974275712","Recent policy documents propose the use of recommender technology to realise online media pluralism goals. Specifically, they may enable citizens to access a diversity of viewpoints concerning matters of public interest via digital means (“public service recommender systems”). On the basis of Article 10 ECHR, States are arguably required to guarantee such “online access diversity.” At the same time, they must, pursuant to that same provision, at all times ensure that individuals maintain autonomy and freedom of choice as regards whether or not to consume certain content. In that context, this contribution argues that policymakers may consider “nudging” people toward reading diversely through recommendation (libertarian-paternalistic approach). Additionally, it points to the possibility of merely offering users the tools to do so, thereby allowing them to make an (informed) choice as regards whether to use them or not (libertarian approach). The first approach presumably best mitigates chances of selective exposure, whilst the second is more “liberty-preserving.” In either case, States comply with their positive and negative obligations stemming from the freedom to receive information and ideas (without interference by public authority) and the freedom to hold opinions. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","2022","2022-03-24 08:56:04","2022-04-13 16:38:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: Vermeulen2022 tex.affiliation: Law & Technology, Department of Interdisciplinary Study of Law, Private Law and Business Law, Ghent University, Ghent, Belgium tex.author_keywords: Article 10 ECHR; autonomy; freedom of choice; News recommendation; nudging; online access diversity; public service recommender systems; required choice tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\VRDHMWJ2\Vermeulen - 2022 - To Nudge or Not to Nudge News Recommendation as a.pdf","","dog; elephant; evil_morty; include; officially_included; sea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZ9D3KFD","journalArticle","2022","Smets, A.; Hendrickx, J.; Ballon, P.","We’re in this together: A multi-stakeholder approach for news recommenders","Digital Journalism","","","10.1080/21670811.2021.2024079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124353662&doi=10.1080%2f21670811.2021.2024079&partnerID=40&md5=66aa392f0433ee9d5915e75622c90ef2","News recommenders are attracting widespread interest in scholarly work. The current research paradigm, however, holds a narrow (mostly user-centered) perspective on the recommendation task. This makes it difficult to understand that their design is in fact the result of a negotiation process among multiple actors involved, such as editors, business executives, technologists and users. To remedy this, a multi-stakeholder recommendation paradigm has been suggested among recommender systems scholars. This work sets out to explore to what extent this paradigm is applicable to the particular context of news recommenders. We conducted 11 interviews with professionals from three leading media companies in Flanders (Belgium) and find that the development of news recommenders is indeed characterized by a negotiation process among multiple stakeholders. However, our results show that the initial multi-stakeholder framework is not adequately accommodating some of our findings, such as the existence of preconditions, the role of product owners, and the indirect involvement of particular stakeholders. Based on our analysis, we suggest an elaborated framework for multi-stakeholder news recommenders that can contribute to scholarship by providing a multi-sided perspective towards the understanding of news recommenders. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","2022","2022-03-24 08:56:04","2022-04-13 16:38:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: Smets2022 tex.affiliation: imec-SMIT, Vrije Universiteit Brussel, Brussel, Belgium tex.author_keywords: Business models; Flanders; interviews; multi-stakeholder recommendation; news recommender; personalization; strategy tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\FAPMVT5W\Smets et al. - 2022 - We’re in This Together A Multi-Stakeholder Approa.pdf","","cat; elephant; include; morty; officially_included; sea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4AYAIEJI","journalArticle","2022","Dovbysh, O.; Wijermars, M.; Makhortykh, M.","How to reach nirvana: Yandex, news personalisation, and the future of russian journalistic media","Digital Journalism","","","10.1080/21670811.2021.2024080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122877862&doi=10.1080%2f21670811.2021.2024080&partnerID=40&md5=52f411827caf489c30eba4b0f81f2cbf","Technological corporations and the digital services they provide play an increasingly important role in the production and dissemination of news, e.g., through media’s growing reliance on algorithmic recommender systems that perform gatekeeping functions. Bringing together three areas of interest–the relationships between large technological corporations and the professional news media, the deployment of recommender systems in non-democracies, and their perceived effects–this article investigates the relationship between Russian media outlets and Yandex. It focuses on personalised content recommendation platform Yandex.Zen and its content prioritisation program “Nirvana.” Combining a review of available procedural documents with interviews and auditing of the redistribution of journalistic content via Yandex.Zen, we examine how the power relations within the recommender system’s multi-stakeholder environment condition journalistic practices. Among other findings, we demonstrate that the platform disincentivizes regional and negative content, which may result in depoliticisation of the news agenda. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","2022","2022-03-24 08:56:04","2022-04-13 16:38:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: Dovbysh2022 tex.affiliation: Aleksanteri Institute, University of Helsinki, Helsinki, Finland; Institute of Communication and Media Studies, University of Bern, Bern, Switzerland tex.author_keywords: algorithmic recommender systems; journalism; News personalisation; platform governance; Russia; Yandex tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\G4DS7PB7\Dovbysh et al. - 2022 - How to Reach Nirvana Yandex, News Personalisation.pdf","","enter; officially_included","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XL3VKNV","journalArticle","2022","Raza, S.; Ding, C.","News recommender system: a review of recent progress, challenges, and opportunities","Artificial Intelligence Review","","","10.1007/s10462-021-10043-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111138409&doi=10.1007%2fs10462-021-10043-x&partnerID=40&md5=dd829ce34f43bf34661b3217be457d4e","Nowadays, more and more news readers read news online where they have access to millions of news articles from multiple sources. In order to help users find the right and relevant content, news recommender systems (NRS) are developed to relieve the information overload problem and suggest news items that might be of interest for the news readers. In this paper, we highlight the major challenges faced by the NRS and identify the possible solutions from the state-of-the-art. Our discussion is divided into two parts. In the first part, we present an overview of the recommendation solutions, datasets, evaluation criteria beyond accuracy and recommendation platforms being used in the NRS. We also talk about two popular classes of models that have been successfully used in recent years. In the second part, we focus on the deep neural networks as solutions to build the NRS. Different from previous surveys, we study the effects of news recommendations on user behaviors and try to suggest possible remedies to mitigate those effects. By providing the state-of-the-art knowledge, this survey can help researchers and professional practitioners have a better understanding of the recent developments in news recommendation algorithms. In addition, this survey sheds light on the potential new directions. © 2021, Crown.","2022","2022-03-24 08:56:05","2022-04-13 16:38:21","","749-800","","1","55","","","","","","","","","","","","","","","","","Citation Key: Raza2022749 tex.affiliation: Ryerson University, Toronto, Canada tex.author_keywords: Beyond-accuracy; Datasets; Deep learning; Evaluation measures; News; Recommender system; User behavior tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\UJK8FARR\Raza and Ding - 2022 - News recommender system a review of recent progre.pdf","","also systematic review; dog; elephant; evil_morty; include; officially_included; sea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WYUIQHIT","journalArticle","2021","Koo, B.; Jeon, H.; Kang, U.","PGT: news recommendation coalescing personal and global temporal preferences","Knowledge and Information Systems","","","10.1007/s10115-021-01618-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118646056&doi=10.1007%2fs10115-021-01618-9&partnerID=40&md5=f577cef39f8753181a4034bd09a05cb1","Given sequential news watch logs of users, how can we accurately recommend news articles? Compared to other items (e.g., movies and e-commerce products) for a recommendation, the worth of news articles decays quickly and massive news articles are published every second. Moreover, people frequently watch popular news articles regardless of their personal tastes to browse remarkable events at a specific time. Current state-of-the-art methods, designed for other target item domains, show low performance when they are used for news recommendation because of these peculiarities of news articles. In this paper, we propose PGT (News Recommendation Coalescing Personal and Global Temporal Preferences), an accurate news recommendation method designed with consideration of the above properties of news articles. PGT sufficiently reflects users’ behaviors by utilizing latent features extracted from both personal and global temporal preferences. Furthermore, we propose an attention-based architecture to extract adequate coalesced features from both of the preferences. We carefully tune each component of PGT to find optimal architecture. Experimental results show that PGT provides the most accurate news recommendation, giving the state-of-the-art accuracy. © 2021, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.","2021","2022-03-24 08:56:05","2022-04-13 16:38:21","","3139-3158","","12","63","","","","","","","","","","","","","","","","","Citation Key: Koo20213139 tex.affiliation: Department of Computer Science and Engineering, Seoul National University, Seoul, South Korea; DeepTrade Inc., Seoul, South Korea tex.author_keywords: Attention; News recommender systems; Personal and global temporal preferences; Recurrent neural network tex.document_type: Article tex.source: Scopus","","C:\Users\ohund\Zotero\storage\TVS5CTJE\Koo et al. - 2021 - PGT news recommendation coalescing personal and g.pdf","","elephant; enter; Maybe; officially_included; timeliness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
