Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Impact of Recommendations on Advertising-Based Revenue Models","E-Life: Web-Enabled Convergence of Commerce, Work, and Social Life","","","","10.1007/978-3-642-29873-8_11","Philipp BodenbennerMarkus HedwigDirk Neumann","2012","http://link.springer.com/chapter/10.1007/978-3-642-29873-8_11","Chapter"
"Emotive Driver Advisor System (EDAS)","Informatics in Control, Automation and Robotics","","","","10.1007/978-3-642-19539-6_2","Oleg GusikhinErica KlampflDimitar FilevYifan Chen","2011","http://link.springer.com/chapter/10.1007/978-3-642-19539-6_2","Chapter"
"Voters' reasoning processes and media influences during the Persian Gulf War","Political Behavior","","16","1","10.1007/BF01541645","Zhongdang PanGerald M. Kosicki","1994","http://link.springer.com/article/10.1007/BF01541645","Article"
"Web News Sentence Searching Using Linguistic Graph Similarity","Databases and Information Systems","","","","10.1007/978-3-319-40180-5_22","Kim SchoutenFlavius Frasincar","2016","http://link.springer.com/chapter/10.1007/978-3-319-40180-5_22","Chapter"
"Storytelling in der Praxis","Storytelling in der PR","","","","10.1007/978-3-531-94116-5_12","Frank Littek","2011","http://link.springer.com/chapter/10.1007/978-3-531-94116-5_12","Chapter"
"The Digital Age: The Press, Radio, Radio Critics and the Public","Radio Critics and Popular Culture","","","","10.1057/978-1-137-55387-4_7","Paul Rixon","2018","http://link.springer.com/chapter/10.1057/978-1-137-55387-4_7","Chapter"
"The Autonomous Web","Studies in Big Data","","","","10.1007/978-3-030-90936-9","Prof. Dr. Herwig UngerDr. Mario Kubek","2022","http://link.springer.com/book/10.1007/978-3-030-90936-9","Book"
"Traditional Media Companies in the U.S. and Social Media: What’s the Strategy?","Handbook of Social Media Management","","","","10.1007/978-3-642-28897-5_2","Alan B. AlbarranTerry Moellinger","2013","http://link.springer.com/chapter/10.1007/978-3-642-28897-5_2","Chapter"
"An Introduction to Recommender Systems","Recommender Systems","","","","10.1007/978-3-319-29659-3_1","Charu C. Aggarwal","2016","http://link.springer.com/chapter/10.1007/978-3-319-29659-3_1","Chapter"
"Matching Recommendation Technologies and Domains","Recommender Systems Handbook","","","","10.1007/978-0-387-85820-3_11","Robin BurkeMaryam Ramezani","2011","http://link.springer.com/chapter/10.1007/978-0-387-85820-3_11","Chapter"
"Multimodal Aggregation and Recommendation Technologies Applied to Informative Content Distribution and Retrieval","Information Retrieval and Mining in Distributed Environments","","","","10.1007/978-3-642-16089-9_12","Alberto MessinaMaurizio Montagnuolo","2011","http://link.springer.com/chapter/10.1007/978-3-642-16089-9_12","Chapter"
"Editing in the Digital Present","A Poetics of Editing","","","","10.1007/978-3-319-92246-1_5","Susan L. Greenberg","2018","http://link.springer.com/chapter/10.1007/978-3-319-92246-1_5","Chapter"
"Empowering Individuals, Companies and Organizations to Build Trust Through Rated and Digitalized Reputation","Economic and Policy Implications of Artificial Intelligence","","","","10.1007/978-3-030-45340-4_5","Vincenzo MancusoDomenico MarinoGiovanni MotturaMichele Petrone","2020","http://link.springer.com/chapter/10.1007/978-3-030-45340-4_5","Chapter"
"Not Yet Decided","Proceedings of International Conference on Communication and Computational Technologies","","","","10.1007/978-981-15-5077-5_2","Anil KumarRajeev Kumar","2021","http://link.springer.com/chapter/10.1007/978-981-15-5077-5_2","Chapter"
"Temporal Aspects of Content Recommendation on a Microblog Corpus","Computational Processing of the Portuguese Language","","","","10.1007/978-3-319-09761-9_20","Caio Ramos CasimiroIvandré Paraboni","2014","http://link.springer.com/chapter/10.1007/978-3-319-09761-9_20","Chapter"
"Ontological-Based Search Engine","Artificial Intelligence in Daily Life","","","","10.1007/978-981-15-7695-9_7","Raymond S. T. Lee","2020","http://link.springer.com/chapter/10.1007/978-981-15-7695-9_7","Chapter"
"Distribution of Media and Information","Managing Media and Digital Organizations","","","","10.1007/978-3-319-71288-8_12","Eli M. Noam","2019","http://link.springer.com/chapter/10.1007/978-3-319-71288-8_12","Chapter"
"Utilizing Printed Media to Understand Desired Leadership Attributes in the People's Republic of China","Asia Pacific Journal of Management","","20","4","10.1023/A:1026373124564","Ping Ping FuAnne S. Tsui","2003","http://link.springer.com/article/10.1023/A%3A1026373124564","Article"
"Exclusively Your’s: Dynamic Individuate Search by Extending User Profile","New Generation Computing","","28","1","10.1007/s00354-008-0075-3","Harshit KumarSanggil Kang","2010","http://link.springer.com/article/10.1007/s00354-008-0075-3","Article"
"Contextual Information Search Based on Ontological User Profile","Computational Collective Intelligence. Technologies and Applications","","","","10.1007/978-3-642-16732-4_52","Nazim Uddin MohammedTrong Hai DuongGeun Sik Jo","2010","http://link.springer.com/chapter/10.1007/978-3-642-16732-4_52","Chapter"
"Recommender Solutions Overview","Decision Support System for Diagnosis and Treatment of Hearing Disorders","","","","10.1007/978-3-319-51463-5_3","Katarzyna A. TarnowskaZbigniew W. RasPawel J. Jastreboff","2017","http://link.springer.com/chapter/10.1007/978-3-319-51463-5_3","Chapter"
"Coast to Coast","Weather on the Air","","","","10.1007/978-1-935704-00-3_7","Robert Henson","2010","http://link.springer.com/chapter/10.1007/978-1-935704-00-3_7","Chapter"
"Text Data Mining of English Interviews","Computer Information Systems and Industrial Management","","","","10.1007/978-3-319-24369-6_40","Hiromi BanHaruhiko KimuraTakashi OyabuJun Minagawa","2015","http://link.springer.com/chapter/10.1007/978-3-319-24369-6_40","Chapter"
"Conclusiones and Open Trends","Recommender Systems for the Social Web","","","","10.1007/978-3-642-25694-3_11","José J. Pazos AriasAna Fernández VilasRebeca P. Díaz Redondo","2012","http://link.springer.com/chapter/10.1007/978-3-642-25694-3_11","Chapter"
"Drinking from the Firehose: Trump, Social Media, and Late-Night Comedy","Political Scandal and American Pop Culture","","","","10.1007/978-3-030-01340-0_8","Jim Twombly","2019","http://link.springer.com/chapter/10.1007/978-3-030-01340-0_8","Chapter"
"Linguistic Resources, Development, and Evaluation of Text and Speech Systems","Evaluation of Text and Speech Systems","","","","10.1007/978-1-4020-5817-2_8","Christopher Cieri","2007","http://link.springer.com/chapter/10.1007/978-1-4020-5817-2_8","Chapter"
"Semantics-based information extraction for detecting economic events","Multimedia Tools and Applications","","64","1","10.1007/s11042-012-1122-0","Alexander HogenboomFrederik HogenboomFlavius FrasincarKim SchoutenOtto van der Meer","2013","http://link.springer.com/article/10.1007/s11042-012-1122-0","Article"
"Responsibility for AI","Robot Rules","","","","10.1007/978-3-319-96235-1_3","Jacob Turner","2019","http://link.springer.com/chapter/10.1007/978-3-319-96235-1_3","Chapter"
"Stream-Based Recommendation for Enterprise Social Media Streams","Business Information Systems","","","","10.1007/978-3-642-38366-3_15","Torsten LunzePhilipp KatzDirk RöhrbornAlexander Schill","2013","http://link.springer.com/chapter/10.1007/978-3-642-38366-3_15","Chapter"
"Collaborative Filtering","Trust-based Collective View Prediction","","","","10.1007/978-1-4614-7202-5_3","Tiejian LuoSu ChenGuandong XuJia Zhou","2013","http://link.springer.com/chapter/10.1007/978-1-4614-7202-5_3","Chapter"
"Suchmaschinenmarketing","Praxiswissen Online-Marketing","","","","10.1007/978-3-658-09003-6_4","Erwin Lammenett","2015","http://link.springer.com/chapter/10.1007/978-3-658-09003-6_4","Chapter"
"In AI we trust? Perceptions about automated decision-making by artificial intelligence","AI & SOCIETY","","35","3","10.1007/s00146-019-00931-w","Theo AraujoNatali HelbergerSanne KruikemeierClaes H. de Vreese","2020","http://link.springer.com/article/10.1007/s00146-019-00931-w","Article"
"Suchmaschinenmarketing (SEM)","Praxiswissen Online-Marketing","","","","10.1007/978-3-658-03313-2_4","Dr. Erwin Lammenett","2014","http://link.springer.com/chapter/10.1007/978-3-658-03313-2_4","Chapter"
"Manufacturing Realities: Truth Is What You Can Get Away With","Donald Trump and the Kayfabe Presidency","","","","10.1007/978-3-030-50551-6_2","Shannon Bow O’Brien","2020","http://link.springer.com/chapter/10.1007/978-3-030-50551-6_2","Chapter"
"Action in culture: Act I of the presidential primary campaign in the U.S., April to December, 2015","American Journal of Cultural Sociology","","4","3","10.1057/s41290-016-0009-3","Jason L. Mast","2016","http://link.springer.com/article/10.1057/s41290-016-0009-3","Article"
"Popular Cultural Islamophobia","Islamophobia","","","","10.1007/978-94-6300-779-5_5","Naved Bakali","2016","http://link.springer.com/chapter/10.1007/978-94-6300-779-5_5","Chapter"
"An Error Correction Methodology for Time Dependent Ontologies","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-642-22056-2_52","Brett DruryJ. J. AlmeidaM. H. M. Morais","2011","http://link.springer.com/chapter/10.1007/978-3-642-22056-2_52","Chapter"
"Cultural Factors in Risk Perception: Observations from Interactions with Aboriginal Communities","Proceedings of The 20th Pacific Basin Nuclear Conference","","","","10.1007/978-981-10-2311-8_70","Danny Mussatti","2017","http://link.springer.com/chapter/10.1007/978-981-10-2311-8_70","Chapter"
"Facebook single and cross domain data for recommendation systems","User Modeling and User-Adapted Interaction","","23","2 - 3","10.1007/s11257-012-9128-x","Bracha ShapiraLior RokachShirley Freilikhman","2013","http://link.springer.com/article/10.1007/s11257-012-9128-x","Article"
"SlopPy: Slope One with Privacy","Data Privacy Management and Autonomous Spontaneous Security","","","","10.1007/978-3-642-35890-6_8","Sébastien GambsJulien Lolive","2013","http://link.springer.com/chapter/10.1007/978-3-642-35890-6_8","Chapter"
"Predicting user preferences on changing trends and innovations using SVM based sentiment analysis","Cluster Computing","","22","5","10.1007/s10586-017-1505-0","K. ChidambarathanuK. L. Shunmuganathan","2019","http://link.springer.com/article/10.1007/s10586-017-1505-0","Article"
"Mourning a president","The Psychiatric Quarterly","","40","1 - 4","10.1007/BF01562794","James K. O'Toole M.D.","1966","http://link.springer.com/article/10.1007/BF01562794","Article"
"A Mobile Context-Aware Proactive Recommendation Approach","Computational Collective Intelligence","","","","10.1007/978-3-319-24069-5_38","Imen AkermiRim Faiz","2015","http://link.springer.com/chapter/10.1007/978-3-319-24069-5_38","Chapter"
"Erfolgreich verkaufen im B2B","","","","","10.1007/978-3-658-03951-6","Hartmut SieckAndreas Goldmann","2014","http://link.springer.com/book/10.1007/978-3-658-03951-6","Book"
"Refine Search Results Based on Desktop Context","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-25207-0_18","Xiaoyun LiYing YuChunping Ouyang","2015","http://link.springer.com/chapter/10.1007/978-3-319-25207-0_18","Chapter"
"Smart Entrepreneurial Systems: An Application of Deep Reinforcement Learning in Improving Entrepreneurship Mentorship","Advances in Information and Communication","","","","10.1007/978-3-030-73103-8_33","Kaveh AbhariDavid WilliamsPooja PawarKashish Panjwani","2021","http://link.springer.com/chapter/10.1007/978-3-030-73103-8_33","Chapter"
"An Approach to Early Recognition of Web User Tasks by the Surfing Behavior","Semantic Multimedia","","","","10.1007/978-3-642-23017-2_5","Anne Gutschmidt","2011","http://link.springer.com/chapter/10.1007/978-3-642-23017-2_5","Chapter"
"Celebrity politics and political representation: The case of George Galloway MP on Celebrity Big Brother","British Politics","","9","2","10.1057/bp.2013.22","Valentina Cardo","2014","http://link.springer.com/article/10.1057/bp.2013.22","Article"
"Suchmaschinenoptimierung (SEO)","Praxiswissen Online-Marketing","","","","10.1007/978-3-658-25135-2_7","Erwin Lammenett","2019","http://link.springer.com/chapter/10.1007/978-3-658-25135-2_7","Chapter"
"Suchmaschinenoptimierung (SEO)","Praxiswissen Online-Marketing","","","","10.1007/978-3-658-15494-3_6","Erwin Lammenett","2017","http://link.springer.com/chapter/10.1007/978-3-658-15494-3_6","Chapter"
"Dynamically Generating Context-Relevant Sub-Webs","Global Perspectives on Design Science Research","","","","10.1007/978-3-642-13335-0_19","Art VandenbergVijay K. VaishnaviSaravanaraj DuraisamyTianjie Deng","2010","http://link.springer.com/chapter/10.1007/978-3-642-13335-0_19","Chapter"
"Improving Information Retrieval Using XML and Topic Maps","Charting the Topic Maps Research and Applications Landscape","","","","10.1007/11676904_22","Ralf SchweigerJoachim Dudeck","2006","http://link.springer.com/chapter/10.1007/11676904_22","Chapter"
"A Feminist Ethics for Journalism","Handbook of Global Media Ethics","","","","10.1007/978-3-319-32103-5_11","Linda Steiner","2021","http://link.springer.com/chapter/10.1007/978-3-319-32103-5_11","Chapter"
"The Tactics Used","The Iran Nuclear Deal","","","","10.1007/978-3-319-59822-2_4","Dennis C. Jett","2018","http://link.springer.com/chapter/10.1007/978-3-319-59822-2_4","Chapter"
"ActiveXML: Compound Documents for Integration of Heterogeneous Data Sources","Research and Advanced Technology for Digital Libraries","","","","10.1007/3-540-45268-0_45","João P. CamposMário J. Silva","2000","http://link.springer.com/chapter/10.1007/3-540-45268-0_45","Chapter"
"Media at kickapoo high: Excellence in education","TechTrends","","34","4","10.1007/BF02761264","Ralph G. Hawkins PhD","1989","http://link.springer.com/article/10.1007/BF02761264","Article"
"An Application of NLP and Audiovisual Content Analysis for Integration of Multimodal Databases of Current Events","Natural Language and Information Systems","","","","10.1007/978-3-540-69858-6_41","Alberto Messina","2008","http://link.springer.com/chapter/10.1007/978-3-540-69858-6_41","Chapter"
"A Proposed Movie Recommendation Method Using Emotional Word Selection","Online Communities and Social Computing","","","","10.1007/978-3-642-02774-1_57","Mina SongHyun NamgoongHong-Gee KimJuHyun Eune","2009","http://link.springer.com/chapter/10.1007/978-3-642-02774-1_57","Chapter"
"LCBM: Statistics-Based Parallel Collaborative Filtering","Business Information Systems","","","","10.1007/978-3-319-06695-0_15","Fabio PetroniLeonardo QuerzoniRoberto BeraldiMario Paolucci","2014","http://link.springer.com/chapter/10.1007/978-3-319-06695-0_15","Chapter"
"Similitude: Decentralised Adaptation in Large-Scale P2P Recommenders","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-319-19129-4_5","Davide FreyAnne-Marie KermarrecChristopher MaddockAndreas MauthePierre-Louis RomanFrançois Taïani","2015","http://link.springer.com/chapter/10.1007/978-3-319-19129-4_5","Chapter"
"Content Recommendation Based on Topic Modeling","Computational Methods and Data Engineering","","","","10.1007/978-981-15-6876-3_1","Sachin PapnejaKapil SharmaNitesh Khilwani","2021","http://link.springer.com/chapter/10.1007/978-981-15-6876-3_1","Chapter"
"Fake President: Telemorphosis and the Performance of Grotesque Power","Post-Truth and the Mediation of Reality","","","","10.1007/978-3-030-25670-8_2","Laurie Ouellette","2019","http://link.springer.com/chapter/10.1007/978-3-030-25670-8_2","Chapter"
"Barricade and Throw Grenades: The Entrenchment of Tribalism and Fear Politics","Tribalism","","","","10.1007/978-3-319-78405-2_8","Stevan E. Hobfoll","2018","http://link.springer.com/chapter/10.1007/978-3-319-78405-2_8","Chapter"
"Scientific articles recommendation with topic regression and relational matrix factorization","Journal of Zhejiang University SCIENCE C","","15","11","10.1631/jzus.C1300374","Ming YangYing-ming LiZhongfei (Mark) Zhang","2014","http://link.springer.com/article/10.1631/jzus.C1300374","Article"
"Digital hyperconnectivity and the self","Theory and Society","","49","5 - 6","10.1007/s11186-020-09405-1","Rogers Brubaker","2020","http://link.springer.com/article/10.1007/s11186-020-09405-1","Article"
"Graph-Based Hybrid Recommendation Using Random Walk and Topic Modeling","Web Technologies and Applications","","","","10.1007/978-3-319-25255-1_47","Hai-Tao ZhengYang-Hui YanYing-Min Zhou","2015","http://link.springer.com/chapter/10.1007/978-3-319-25255-1_47","Chapter"
"On Donkey Drivers, Interreligious Dialogue, and Shared Tasks: A Jewish Response to Pope Francis on Interreligious Relations and Collaboration","Pope Francis and Interreligious Dialogue","","","","10.1007/978-3-319-96095-1_4","Debbie Young-Somers","2018","http://link.springer.com/chapter/10.1007/978-3-319-96095-1_4","Chapter"
"Topic Analysis of Web User Behavior Using LDA Model on Proxy Logs","Advances in Knowledge Discovery and Data Mining","","","","10.1007/978-3-642-20841-6_43","Hiroshi FujimotoMinoru EtohAkira KinnoYoshikazu Akinaga","2011","http://link.springer.com/chapter/10.1007/978-3-642-20841-6_43","Chapter"
"Simultaneously Modeling Reply Networks and Contents to Generate User’s Profiles on Web Forum","Behavior Computing","","","","10.1007/978-1-4471-2969-1_6","Zhao ZhangWeining QianAoying Zhou","2012","http://link.springer.com/chapter/10.1007/978-1-4471-2969-1_6","Chapter"
"Complexity and integration. A philosophical analysis of how cancer complexity can be faced in the era of precision medicine","European Journal for Philosophy of Science","","9","3","10.1007/s13194-019-0257-5","Giovanni BonioloRaffaella Campaner","2019","http://link.springer.com/article/10.1007/s13194-019-0257-5","Article"
"Conclusion: The Populist Bonanza of the 2016 Election","The Reinvention of Populist Rhetoric in The Digital Age","","","","10.1007/978-981-10-2161-9_8","Mark Rolfe","2016","http://link.springer.com/chapter/10.1007/978-981-10-2161-9_8","Chapter"
"COBA: A Credible and Co-clustering Filterbot for Cold-Start Recommendations","Practical Applications of Intelligent Systems","","","","10.1007/978-3-642-25658-5_56","Wenyin WangDaqiang ZhangJingyu Zhou","2012","http://link.springer.com/chapter/10.1007/978-3-642-25658-5_56","Chapter"
"Improv beyond the Theatre: The Harold’s Influence on Television and Film","Long Form Improvisation and American Comedy","","","","10.1057/9781137376589_6","Matt Fotis","2014","http://link.springer.com/chapter/10.1057/9781137376589_6","Chapter"
"Introduction","Music Recommendation and Discovery","","","","10.1007/978-3-642-13287-2_1","Òscar Celma","2010","http://link.springer.com/chapter/10.1007/978-3-642-13287-2_1","Chapter"
"Recommendation Systems: Techniques, Challenges, Application, and Evaluation","Soft Computing for Problem Solving","","","","10.1007/978-981-13-1595-4_12","Sandeep K. RaghuwanshiR. K. Pateriya","2019","http://link.springer.com/chapter/10.1007/978-981-13-1595-4_12","Chapter"
"Three challenges in data mining","Frontiers of Computer Science in China","","4","3","10.1007/s11704-010-0102-7","Qiang Yang","2010","http://link.springer.com/article/10.1007/s11704-010-0102-7","Article"
"Taking advantage of contextualized interactions while users watch TV","Multimedia Tools and Applications","","50","3","10.1007/s11042-010-0481-7","Cesar A. C. TeixeiraErick Lazaro MeloRenan G. CattelanMaria da Graça C. Pimentel","2010","http://link.springer.com/article/10.1007/s11042-010-0481-7","Article"
"Collaborative Filtering Techniques in Recommendation Systems","Data, Engineering and Applications","","","","10.1007/978-981-13-6347-4_2","Sandeep K. RaghuwanshiR. K. Pateriya","2019","http://link.springer.com/chapter/10.1007/978-981-13-6347-4_2","Chapter"
"Technologizing the Divine","Postdigital Science and Education","","2","2","10.1007/s42438-019-00071-w","Peter McLaren","2020","http://link.springer.com/article/10.1007/s42438-019-00071-w","Article"
"Web-Based Agent Applications: User Interfaces and Mobile Agents","Telecommunications and IT Convergence Towards Service E-volution","","","","10.1007/3-540-46525-1_10","Alberto Rodrigues da SilvaMiguel Mira da SilvaArtur Romão","2000","http://link.springer.com/chapter/10.1007/3-540-46525-1_10","Chapter"
"Towards Software Architecture Documents Matching Stakeholders’ Interests","Advances in New Technologies, Interactive Interfaces and Communicability","","","","10.1007/978-3-642-34010-9_17","Matías NicolettiJ. Andrés Diaz-PaceSilvia Schiaffino","2012","http://link.springer.com/chapter/10.1007/978-3-642-34010-9_17","Chapter"
"Recommending POIs Based on the User’s Context and Intentions","Highlights on Practical Applications of Agents and Multi-Agent Systems","","","","10.1007/978-3-642-38061-7_17","Hernani CostaBarbara FurtadoDurval PiresLuis MacedoAmilcar Cardoso","2013","http://link.springer.com/chapter/10.1007/978-3-642-38061-7_17","Chapter"
"Conclusion: What Trump’s Presidency Teaches Us About Presidential Power (and Presidential Power)","Presidential Power Meets the Art of the Deal","","","","10.1007/978-3-030-56029-4_8","Todd M. Schaefer","2021","http://link.springer.com/chapter/10.1007/978-3-030-56029-4_8","Chapter"
"Suchmaschinenmarketing (SEM): Keyword-Advertising (SEA), Suchmaschinenoptimierung (SEO), Universal Search, Preissuchmaschinen","Praxiswissen Online-Marketing","","","","10.1007/978-3-8349-3636-3_4","Erwin Lammenett","2012","http://link.springer.com/chapter/10.1007/978-3-8349-3636-3_4","Chapter"
"HTTP-SoLDiER: An HTTP-flooding attack detection scheme with the large deviation principle","Science China Information Sciences","","57","10","10.1007/s11432-013-5015-2","Jin WangXiaoLong YangMin ZhangKePing LongJie Xu","2014","http://link.springer.com/article/10.1007/s11432-013-5015-2","Article"
"The Triumph of the Personal: American Fundamentalism Comes of Age","Philosophia","","44","3","10.1007/s11406-015-9614-6","David True","2016","http://link.springer.com/article/10.1007/s11406-015-9614-6","Article"
"Evaluating Recommendation Systems","Recommender Systems Handbook","","","","10.1007/978-0-387-85820-3_8","Guy ShaniAsela Gunawardana","2011","http://link.springer.com/chapter/10.1007/978-0-387-85820-3_8","Chapter"
"Partisan public health: how does political ideology influence support for COVID-19 related misinformation?","Journal of Computational Social Science","","3","2","10.1007/s42001-020-00089-2","Nicholas Francis Havey","2020","http://link.springer.com/article/10.1007/s42001-020-00089-2","Article"
