Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Feedback Options for a Personal News Recommendation Tool","Cooperation in Classification and Data Analysis","","","","10.1007/978-3-642-00668-5_9","C. BomhardtW. Gaul","2009","http://link.springer.com/chapter/10.1007/978-3-642-00668-5_9","Chapter"
"Application of News Features in News Recommendation Methods: A Survey","Data Science","","","","10.1007/978-981-15-7984-4_9","Jing QinPeng Lu","2020","http://link.springer.com/chapter/10.1007/978-981-15-7984-4_9","Chapter"
"Personalized News Recommendation: A Review and an Experimental Investigation","Journal of Computer Science and Technology","","26","5","10.1007/s11390-011-0175-2","Lei LiDing-Ding WangShun-Zhi ZhuTao Li","2011","http://link.springer.com/article/10.1007/s11390-011-0175-2","Article"
"A Personalized News Recommendation System Based on Tag Dependency Graph","Web-Age Information Management","","","","10.1007/978-3-319-21042-1_68","Pengqiang AiYingyuan XiaoKe ZhuHongya WangChing-Hsien Hsu","2015","http://link.springer.com/chapter/10.1007/978-3-319-21042-1_68","Chapter"
"CONCERT: A Concept-Centric Web News Recommendation System","Web-Age Information Management","","","","10.1007/978-3-642-38562-9_82","Hongda RenWei Feng","2013","http://link.springer.com/chapter/10.1007/978-3-642-38562-9_82","Chapter"
"Content-Based News Recommendation: Comparison of Time-Based System and Keyphrase-Based System","Knowledge Discovery, Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-319-25840-9_6","Servet TasciIlyas Cicekli","2015","http://link.springer.com/chapter/10.1007/978-3-319-25840-9_6","Chapter"
"Real-Time News Recommender System","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-642-15939-8_38","Blaž FortunaCarolina FortunaDunja Mladenić","2010","http://link.springer.com/chapter/10.1007/978-3-642-15939-8_38","Chapter"
"News Recommendation in Real-Time","Smart Information Systems","","","","10.1007/978-3-319-14178-7_6","Benjamin KilleAndreas LommatzschTorben Brodt","2015","http://link.springer.com/chapter/10.1007/978-3-319-14178-7_6","Chapter"
"Join the Living Lab: Evaluating News Recommendations in Real-Time","Advances in Information Retrieval","","","","10.1007/978-3-319-16354-3_95","Frank HopfgartnerTorben Brodt","2015","http://link.springer.com/chapter/10.1007/978-3-319-16354-3_95","Chapter"
"News recommender system: a review of recent progress, challenges, and opportunities","Artificial Intelligence Review","","55","1","10.1007/s10462-021-10043-x","Shaina RazaChen Ding","2022","http://link.springer.com/article/10.1007/s10462-021-10043-x","Article"
"UBS: A Novel News Recommendation System Based on User Behavior Sequence","Knowledge Science, Engineering and Management","","","","10.1007/978-3-319-25159-2_68","Haoye DongJia ZhuYong TangChuanhua XuRui DingLingxiao Chen","2015","http://link.springer.com/chapter/10.1007/978-3-319-25159-2_68","Chapter"
"Personalized news recommendation based on articles chain building","Neural Computing and Applications","","27","5","10.1007/s00521-015-1932-x","Wanrong GuShoubin DongMingquan Chen","2016","http://link.springer.com/article/10.1007/s00521-015-1932-x","Article"
"Location-Aware News Recommendation Using Deep Localized Semantic Analysis","Database Systems for Advanced Applications","","","","10.1007/978-3-319-55753-3_32","Cheng ChenThomas LukasiewiczXiangwu MengZhenghua Xu","2017","http://link.springer.com/chapter/10.1007/978-3-319-55753-3_32","Chapter"
"News Recommendation Method Based on Topic Extraction and User Interest Transfer","LISS 2021","","","","10.1007/978-981-16-8656-6_20","Yimeng WeiGuiying WeiSen Wu","2022","http://link.springer.com/chapter/10.1007/978-981-16-8656-6_20","Chapter"
"Real-Time News Recommendation Using Context-Aware Ensembles","Advances in Information Retrieval","","","","10.1007/978-3-319-06028-6_5","Andreas Lommatzsch","2014","http://link.springer.com/chapter/10.1007/978-3-319-06028-6_5","Chapter"
"Optimizing and Evaluating Stream-Based News Recommendation Algorithms","Experimental IR Meets Multilinguality, Multimodality, and Interaction","","","","10.1007/978-3-319-24027-5_40","Andreas LommatzschSebastian Werner","2015","http://link.springer.com/chapter/10.1007/978-3-319-24027-5_40","Chapter"
"Pitch Proposal: Recommenders with a Mission - Assessing Diversity in News Recommendations","ECML PKDD 2020 Workshops","","","","10.1007/978-3-030-65965-3_38","Sanne VrijenhoekNatali Helberger","2020","http://link.springer.com/chapter/10.1007/978-3-030-65965-3_38","Chapter"
"Neural news recommendation with negative feedback","CCF Transactions on Pervasive Computing and Interaction","","2","3","10.1007/s42486-020-00044-0","Chuhan WuFangzhao WuYongfeng HuangXing Xie","2020","http://link.springer.com/article/10.1007/s42486-020-00044-0","Article"
"DCAN: Deep Co-Attention Network by Modeling User Preference and News Lifecycle for News Recommendation","Database Systems for Advanced Applications","","","","10.1007/978-3-030-73200-4_7","Lingkang MengChongyang ShiShufeng HaoXiangrui Su","2021","http://link.springer.com/chapter/10.1007/978-3-030-73200-4_7","Chapter"
"A TV News Recommendation System with Automatic Recomposition","Advanced Multimedia Content Processing","","","","10.1007/3-540-48962-2_16","Junzo KamaharaYuji NomuraKazunori UedaKeishi KandoriShinji ShimojoHideo Miyahara","1999","http://link.springer.com/chapter/10.1007/3-540-48962-2_16","Chapter"
"News Recommender Based on Rich Feedback","User Modeling, Adaptation and Personalization","","","","10.1007/978-3-319-20267-9_27","Liliana ArdissonoGiovanna PetroneFrancesco Vigliaturo","2015","http://link.springer.com/chapter/10.1007/978-3-319-20267-9_27","Chapter"
"Personalized Model Combination for News Recommendation in Microblogs","Semantic Technology","","","","10.1007/978-3-319-15615-6_24","Rémi LamLei HouJuanzi Li","2015","http://link.springer.com/chapter/10.1007/978-3-319-15615-6_24","Chapter"
"Location Aware Personalized News Recommender System Based on Twitter Popularity","Computational Science and Its Applications – ICCSA 2018","","","","10.1007/978-3-319-95171-3_51","Sunita TiwariManjeet Singh PangteySushil Kumar","2018","http://link.springer.com/chapter/10.1007/978-3-319-95171-3_51","Chapter"
"Content-Based News Recommendation","E-Commerce and Web Technologies","","","","10.1007/978-3-642-15208-5_6","Michal KompanMária Bieliková","2010","http://link.springer.com/chapter/10.1007/978-3-642-15208-5_6","Chapter"
"Optimization of Hypergraph Based News Recommendation by Binary Decision Tree","Intelligence Science and Big Data Engineering","","","","10.1007/978-3-030-02698-1_8","Wanrong GuXianfen XieYijun MaoYichen He","2018","http://link.springer.com/chapter/10.1007/978-3-030-02698-1_8","Chapter"
"SERUM: Collecting Semantic User Behavior for Improved News Recommendations","Advances in User Modeling","","","","10.1007/978-3-642-28509-7_37","Till PlumbaumAndreas LommatzschErnesto William De LucaSahin Albayrak","2012","http://link.springer.com/chapter/10.1007/978-3-642-28509-7_37","Chapter"
"News Recommendation Model Based on Improved Label Propagation Algorithm","Human Centered Computing","","","","10.1007/978-3-030-37429-7_31","Zelin PengRonghua LinYi HeLiu WangHanlu ChuChengzhou FuYong Tang","2019","http://link.springer.com/chapter/10.1007/978-3-030-37429-7_31","Chapter"
"Recent News Recommender Using Browser’s History","Intelligent Systems and Applications","","","","10.1007/978-3-030-55187-2_22","Samer SawalhaArafat Awajan","2021","http://link.springer.com/chapter/10.1007/978-3-030-55187-2_22","Chapter"
"Dual Attention Network Based on Knowledge Graph for News Recommendation","Wireless Algorithms, Systems, and Applications","","","","10.1007/978-3-030-85928-2_29","Yang RenXiaoming WangGuangyao PangYaguang LinPengfei Wan","2021","http://link.springer.com/chapter/10.1007/978-3-030-85928-2_29","Chapter"
"Learning Fuzzy User Models for News Recommender Systems","AI*IA 2018 – Advances in Artificial Intelligence","","","","10.1007/978-3-030-03840-3_37","Mauro Dragoni","2018","http://link.springer.com/chapter/10.1007/978-3-030-03840-3_37","Chapter"
"News Recommendation Using Semantics with the Bing-SF-IDF Approach","Advances in Conceptual Modeling","","","","10.1007/978-3-319-14139-8_18","Frederik HogenboomMichel CapelleMarnix Moerland","2014","http://link.springer.com/chapter/10.1007/978-3-319-14139-8_18","Chapter"
"Accurate News Recommendation Coalescing Personal and Global Temporal Preferences","Advances in Knowledge Discovery and Data Mining","","","","10.1007/978-3-030-47426-3_7","Bonhun KooHyunsik JeonU Kang","2020","http://link.springer.com/chapter/10.1007/978-3-030-47426-3_7","Chapter"
"News Recommendation with CF-IDF+","Advanced Information Systems Engineering","","","","10.1007/978-3-319-91563-0_11","Emma de KoningFrederik HogenboomFlavius Frasincar","2018","http://link.springer.com/chapter/10.1007/978-3-319-91563-0_11","Chapter"
"News Recommenders: Real-Time, Real-Life Experiences","User Modeling, Adaptation and Personalization","","","","10.1007/978-3-319-20267-9_28","Doychin DoychevRachael RafterAonghus LawlorBarry Smyth","2015","http://link.springer.com/chapter/10.1007/978-3-319-20267-9_28","Chapter"
"Taxonomy Based Personalized News Recommendation: Novelty and Diversity","Web Information Systems Engineering – WISE 2013","","","","10.1007/978-3-642-41230-1_18","Junyang RaoAixia JiaYansong FengDongyan Zhao","2013","http://link.springer.com/chapter/10.1007/978-3-642-41230-1_18","Chapter"
"Personalized News Recommendation Using Ontologies Harvested from the Web","Web-Age Information Management","","","","10.1007/978-3-642-38562-9_79","Junyang RaoAixia JiaYansong FengDongyan Zhao","2013","http://link.springer.com/chapter/10.1007/978-3-642-38562-9_79","Chapter"
"Implementation of Academic News Recommendation System Based on User Profile and Message Semantics","Computational Intelligence and Intelligent Systems","","","","10.1007/978-981-13-1648-7_46","Weiling LiYong TangGuohua ChenDanyang XiaoChengzhe Yuan","2018","http://link.springer.com/chapter/10.1007/978-981-13-1648-7_46","Chapter"
"Automatic news recommendations via aggregated profiling","Multimedia Tools and Applications","","63","2","10.1007/s11042-011-0844-8","Erik MannensSam CoppensToon De PessemierHendrik DacquinDavy Van DeursenRobbie De SutterRik Van de Walle","2013","http://link.springer.com/article/10.1007/s11042-011-0844-8","Article"
"Bing-CF-IDF+: A Semantics-Driven News Recommender System","Advanced Information Systems Engineering","","","","10.1007/978-3-030-21290-2_3","Emma BrockenAron HartveldEmma de KoningThomas van NoortFrederik HogenboomFlavius FrasincarTarmo Robal","2019","http://link.springer.com/chapter/10.1007/978-3-030-21290-2_3","Chapter"
"News Recommendation Based on Click-Through Rate Prediction Model","LISS 2020","","","","10.1007/978-981-33-4359-7_27","Guiying WeiYimeng WeiJincheng Lei","2021","http://link.springer.com/chapter/10.1007/978-981-33-4359-7_27","Chapter"
"Large-Scale Real-Time News Recommendation Based on Semantic Data Analysis and Users’ Implicit and Explicit Behaviors","Advances in Databases and Information Systems","","","","10.1007/978-3-319-98398-1_17","Hemza FicelMohamed Ramzi HaddadHajer Baazaoui Zghal","2018","http://link.springer.com/chapter/10.1007/978-3-319-98398-1_17","Chapter"
